yyyymm,g_t
197702,"[ 1.31177959e-05 -1.09639528e-05 -3.47661829e-05 -4.54696606e-05
 -3.29956829e-05]"
197703,"[-1.42325522e-05  2.26122026e-07  8.76824440e-05  6.99100827e-05
  1.44509331e-05]"
197704,"[ 3.93544453e-04 -3.20539182e-04 -2.27330467e-05 -1.00773226e-04
 -2.12778103e-05]"
197705,"[ 5.26644624e-04 -8.35128426e-05  1.93112019e-04  2.17314985e-05
  1.24462369e-05]"
197706,"[ 5.36032859e-04  2.56029800e-04 -1.15193718e-04 -3.78582724e-04
 -1.69735741e-05]"
197707,"[ 1.45596496e-04  5.07768482e-04 -3.12402091e-04  8.96812191e-05
  3.05556168e-04]"
197708,"[ 7.95752337e-05  1.19038982e-04 -5.00861568e-04  2.99320145e-04
  1.00919983e-04]"
197709,"[ 5.50325996e-04  1.49109399e-04 -8.22146518e-05 -3.04765732e-04
 -2.63785083e-04]"
197710,"[ 1.09738996e-04 -5.54154066e-04 -1.64571033e-04  4.16440960e-05
  4.60924557e-04]"
197711,"[-2.18544542e-05 -8.82683933e-04  1.38797045e-04 -1.33142249e-04
 -2.90182399e-04]"
197712,[ 0.0012216  -0.00097617 -0.00026059  0.00052116 -0.00027928]
197801,[-0.00122875 -0.00011123 -0.00100325  0.0002035  -0.00051605]
197802,"[ 1.06237691e-03  7.31875336e-04  8.51247948e-05 -9.96664919e-04
  1.56021163e-04]"
197803,"[ 1.29061231e-03  1.75558108e-05 -5.42620084e-04 -2.76854088e-04
  9.55256359e-04]"
197804,"[ 1.26693030e-03  2.05154867e-04 -2.05585217e-05  5.34572382e-04
  3.03224431e-04]"
197805,[-0.00054153  0.00125122  0.00035429  0.000367   -0.00076766]
197806,[-0.00055236  0.00014918  0.0010887  -0.00046061 -0.00037189]
197807,"[-7.90384480e-04  3.86802280e-04 -2.68954435e-05 -1.06495760e-03
  3.22412677e-04]"
